Id,Name,Notes
373,Medical Provider,"ONLY use when specific provider involvement is mentioned: 'pediatrician involved', 'specialist consulted', 'neurologist referred', 'specific doctor', 'medical provider' - NOT for general medical care, appointments, or provider types without specific involvement."
374,Missed Milestones,"ONLY use when caregiver mentions missed/late milestones: 'missed milestones', 'delayed development', 'late to walk', 'not talking on time', 'developmental delays' in various domains (motor skills, speech and language, cognitive skills, and social and emotional skills) specifically for children younger than five years of age — NOT for normal variation, early milestones, developmental discussions without missed/late context, or for children five years of age or older"
376,MODIFYING FACTORS,ONLY use as a category header for organizing Modifying Factor concepts - NOT for coding individual modifying factors or circumstances.
377,Access Modifier,ONLY use as a domain header for organizing Access Modifier conditions - NOT for coding individual access factors or circumstances.
378,"Adaptive equipment (includes technology, like AAC devices and zoom/telehealth)","ONLY use when adaptive tech/equipment supports daily life: 'AAC device', 'adaptive equipment', 'assistive technology', 'telehealth for therapy', 'communication device' - NOT for normal technology use, standard medical equipment, or technology without adaptive purpose."
379,Alternative Treatments Available,"ONLY use when non-standard treatments are available/considered: 'alternative treatments', 'experimental therapy', 'non-traditional options', 'holistic approaches', 'complementary medicine' - NOT for standard treatments, conventional therapy, or mainstream medical options."
380,"Cleaner, Landscaper, Chef, Personal Assistant, Gardener, Dog Walker",any ancillary staff 
381,Educator (In Home),"Only use when an educator/teacher is specifically providing IN-HOME educational services. School-based educators, therapists visiting home for therapy, or tutors do NOT qualify."
382,Early Intervention Program,"ONLY use when EI services are in place for children under 3: 'early intervention', 'EI services', 'birth-to-three program', 'infant-toddler services', 'Part C services' - NOT for preschool services, school-age interventions, or services for children over 3."
383,Healthcare Provider and Appointment Access ,"Use for experiences related to healthcare provider access — BOTH positive (reliable, knowledgeable, accessible provider, good specialist access) AND negative (difficulty finding providers, long wait times, lack of specialists, geographic barriers). In the rationale, specify whether the access experience is positive or negative. Do NOT use simply because a provider is mentioned — there must be a comment about the quality or accessibility of that access. NOTE: P8 team is considering splitting this into good-access and bad-access codes."
384,"In home medical care (nurses, therapies)","ONLY use when nurses/therapists provide care at home: 'home nursing', 'PT comes to home', 'in-home therapy', 'home health services', 'medical care at home' - NOT for clinic visits, outpatient therapy, or medical care outside the home."
385,Information/Knowledge,"ONLY use when knowledge resources/education influence care: 'learned about condition', 'education helped', 'information resources', 'knowledge about care', 'educational materials' - NOT for general learning, school education, or information without care influence."
386,Diagnosis Identified,"ONLY use when final diagnosis has been established: 'diagnosis confirmed', 'final diagnosis', 'diagnosed with', 'condition identified', 'diagnosis established' - NOT for suspected diagnoses, rule-outs, or diagnostic uncertainty without established diagnosis."
387,Education of parent,"ONLY use when caregiver education/training about condition is provided: 'parent education', 'trained about condition', 'taught caregiving skills', 'education program', 'caregiver training' - NOT for general education, school information, or child's education without caregiver training."
388,Lack of information on disorder,"ONLY use when caregivers report lack of information about condition: 'no information available', 'don't know about disorder', 'lack of resources', 'information gap', 'no guidance' - NOT for having information, partial information, or seeking additional information without expressing lack."
389,Insurance,"ONLY use when insurance coverage/limitations materially affect care: 'insurance denied', 'not covered', 'insurance limits care', 'coverage problems', 'insurance affects treatment' - NOT for routine coverage, insurance discussions, or coverage without material care impact."
390,"Legal assistance, child advocate","ONLY use when legal aid/advocacy services are used: 'child advocate', 'legal assistance', 'advocacy services', 'legal help', 'educational advocate' - NOT for normal school meetings, informal advocacy, or legal discussions without actual services."
391,"Regional differences in access to services, insurance and medical care","ONLY use when location affects access to services/insurance/care: 'rural area limits access', 'location affects services', 'regional differences', 'geographic barriers', 'area lacks services' - NOT for normal travel, convenience issues, or location mentions without access impact."
392,Respite care,Child care 
393,"Treatment for family members (anxiety medication, counseling)","ONLY use when family members receive treatment for condition-related issues: 'counseling for stress', 'anxiety medication for parent', 'therapy for caregiver', 'family member treatment' - NOT for unrelated medical care, general therapy, or treatment without condition connection."
394,Family and Community Support Modifer,"ONLY use as a domain header for organizing Family and Community Support Modifier conditions - NOT for coding individual family or community support factors. Family history typically includes information from three generations of relatives, including children, siblings, parents, aunts and uncles, nieces and nephews, grandparents, and cousins. — NOT for coding individual family or community support factors or specific family history details."
395,"Community via facebook, foundation and support groups","ONLY use when online/support foundations provide community: 'Facebook support group', 'foundation community', 'online support', 'support group connections', 'community via groups' - NOT for general social media, unrelated groups, or community without support context."
396,"Supportive Community, including School","ONLY use when school/community support is strong: 'school very supportive', 'community helps', 'strong school support', 'supportive community', 'community rallies around' - NOT for basic services, neutral interactions, or minimal support without strong/significant support."
397,"Research, participation","ONLY use when family participates in research/registries: 'participating in research', 'enrolled in study', 'research participation', 'registry enrollment', 'clinical trial' - NOT for reading research, research discussions, or research without actual participation."
398,Supportive family,"ONLY use when extended family provides significant support: 'family very supportive', 'grandparents help a lot', 'strong family support', 'extended family assists', 'family rallies around' - NOT for minimal family help, normal family relationships, or family without significant support."
399,Health Support Modifier,"This is a CATEGORY HEADER code for organizing health support factors. Do NOT annotate this code directly for individual instances — instead use the specific child codes underneath it (e.g., [402] Multidisciplinary Care, [396] Supportive Community). Only annotate this code if the caregiver describes a health support factor that does not fit any specific child code."
400,Bereavement counseling,"ONLY use when grief counseling is used after losses: 'bereavement counseling', 'grief therapy', 'counseling after death', 'bereavement support', 'grief counselor' - NOT for general counseling, anticipatory grief, or support without actual bereavement counseling."
401,Hospice,"ONLY use when hospice services are engaged: 'hospice care', 'hospice services', 'end-of-life care', 'hospice team', 'hospice enrolled' - NOT for palliative care, comfort care, or end-of-life discussions without actual hospice services."
402,Multidisciplinary Care,"ONLY use when care is coordinated across specialties/teams: 'multidisciplinary team', 'coordinated care', 'team approach', 'multiple specialists work together', 'care coordination' - NOT for seeing multiple doctors, referrals, or specialists without team coordination."
403,Palliative Care,"ONLY use when palliative services are used: 'palliative care', 'comfort care team', 'palliative services', 'symptom management team', 'palliative specialist' - NOT for comfort measures, pain management, or supportive care without formal palliative services."
404,Shared Decision Making,"ONLY use when joint family-clinician decisions are emphasized: 'shared decision making', 'family involved in decisions', 'collaborative decisions', 'joint treatment planning', 'shared medical decisions' - NOT for normal consultations, information sharing, or decisions without explicit shared/collaborative approach."
405,Pandemic (COVID),ONLY use as a domain header for organizing Pandemic-related modifying factors - NOT for coding individual pandemic impacts or symptoms.
406,Resilience Modifier,ONLY use as a domain header for organizing Resilience Modifier conditions - NOT for coding individual resilience factors or coping mechanisms.
407,Coping strategies (caregivers),"ONLY use when caregivers describe coping methods that help: 'coping strategies', 'what helps me cope', 'coping mechanisms', 'strategies that work', 'helpful coping' - NOT for general activities, normal routines, or activities without explicit coping context."
408,Spiritual beliefs,"REVIEW FEEDBACK: DO NOT confuse with [352] Work, reduced capacity. | Only use when caregiver describes spiritual/religious beliefs as a COPING mechanism or source of support. General mention of church or religion does NOT qualify."
409,Severity of Symptoms (includes Seizure control),ONLY use as a domain header for organizing Severity of Symptoms conditions - NOT for coding individual symptom severity levels.
410,Menses-related modification of symptoms,"ONLY use when symptoms predictably change with menstrual cycle: 'symptoms worse during period', 'menses affect symptoms', 'menstrual cycle changes condition', 'symptoms fluctuate with periods' - NOT for general health variations, age-related changes, or symptom fluctuations without menstrual correlation."
411,Work Modifier,ONLY use as a domain header for organizing Work Modifier conditions - NOT for coding individual work-related factors or circumstances.
412,Job flexiblity and financial resources,"ONLY use when flexible employment or financial resources mitigate care impacts: 'flexible job helps', 'good insurance covers costs', 'financial resources ease burden', 'job flexibility allows care' - NOT for normal employment, typical benefits, or resources without specific impact mitigation."
413,Professional Expertise of parent/caregivers,"ONLY use when caregiver's professional background helps with patient care: 'I'm a nurse so I understand', 'my medical background helps', 'professional training aids caregiving', 'work experience helps with care' - NOT for general education, unrelated professional experience, or learning about condition without professional expertise benefit."
414,MEDICAL INTERVENTIONS,REVIEW FEEDBACK: DO NOT confuse with [129] Fatigue.
415,Adaptive or Special Equipment Required,ONLY use as a domain header for organizing Adaptive Equipment conditions - NOT for coding individual equipment needs or devices.
416,Alternative and/or Augmentative Communication Devices Used,"ONLY use when AAC devices are regularly used for communication: 'uses AAC device', 'has talker', 'iPad for speech', 'communication device', 'speech generating device' - NOT for occasional device use, apps without communication purpose, or devices not used for augmentative communication."
417,Hearing Aids,"ONLY use when patient uses hearing aids: 'wears hearing aids', 'hearing aids', 'hearing devices', 'amplification devices', or has documented hearing loss requiring the use of hearing aids — NOT for hearing tests, ear infections, hearing concerns without actual hearing aid use, or mentions of hearing loss that do not explicitly indicate the patient uses hearing aids"
418,Mobility Equipment,"ONLY use when special mobility equipment is used: 'special chair', 'adaptive stroller', 'walker', 'mobility equipment', 'adaptive mobility devices' - NOT for normal strollers, regular chairs, or standard equipment without adaptive mobility purpose."
419,"AFOs '-' angle foot orhosis, orthotics",Only use when AFOs or orthotics are explicitly mentioned as currently used or prescribed. General mention of foot/ankle issues without orthotics does NOT qualify.
420,Service Animal,"ONLY use when trained service animal supports daily life: 'service dog', 'service animal', 'trained assistance animal', 'medical alert dog' - NOT for pets, emotional support animals, or therapy animals without formal service animal training."
421,"Standers, standing frame","ONLY use when standing equipment is used for positioning: 'stander', 'standing frame', 'standing device', 'positioning equipment for standing' - NOT for normal standing, standing practice, or mobility without standing equipment."
422,Wheelchair,"ONLY use when wheelchair is used for mobility: 'wheelchair', 'uses wheelchair', 'wheelchair for distances', 'full-time wheelchair', 'wheelchair user' - NOT for temporary wheelchair use, wheelchair evaluations, or mobility concerns without actual wheelchair use."
423,Sleep positioning,"ONLY use when specific sleep positioning equipment is used: 'sleep positioning devices', 'positioning aids for sleep', 'special pillows for positioning', 'sleep positioning equipment' - NOT for normal sleep positions, sleep problems, or bedtime routines without positioning equipment."
424,Dietary,"Only use for formal therapeutic dietary interventions (e.g., ketogenic diet, elimination diet prescribed by provider). Normal feeding accommodations (soft food, purees) are NOT dietary interventions."
425,Gluten Free,"ONLY use when gluten-free diet is medically implemented: 'gluten-free diet', 'celiac diet', 'no gluten', 'gluten-free for medical reasons', or when prescribed for hypersensitivity in the form of an adverse immune reaction against gluten — NOT for food preferences, trial diets, or dietary choices without medical gluten-free implementation"
426,IV Nutrition/Fluids (TPN),"ONLY use when IV nutrition/fluids are provided: 'TPN', 'IV nutrition', 'parenteral nutrition', 'IV fluids', 'total parenteral nutrition' - NOT for occasional IV fluids during illness, hydration therapy, or IV medications without nutrition/fluid support."
427,Ketogenic diet,"ONLY use when ketogenic diet is medically used: 'keto diet', 'ketogenic diet', 'keto for seizures', 'medical keto diet', or when the diet improves or makes medical signs or symptoms more bearable — NOT for weight loss diets, lifestyle keto, or dietary choices without medical ketogenic implementation"
428,"Lactose, dairy free","ONLY use when lactose/dairy-free diet is implemented due to lactose intolerance (an inability to digest lactose) or immune-mediated hypersensitivity reaction to dairy, as indicated by terms: 'lactose-free', 'dairy-free diet', 'no dairy', 'lactose intolerant diet' — NOT for food preferences, temporary dairy avoidance, or dietary choices without lactose/dairy restriction implementation"
429,"Tube fed (PEG, NG, etc)","ONLY use when tube feeding is in place: 'G-tube', 'PEG tube', 'NG tube', 'tube feeding', 'gastrostomy' - NOT for temporary NG tubes during illness, feeding evaluations, or feeding concerns without established tube feeding."
430,Experimental Therapies,ONLY use as a domain header for organizing Experimental Therapy conditions - NOT for coding individual experimental treatments or trials.
431,"Medical Intervention, Home",ONLY use as a domain header for organizing Home Medical Intervention conditions - NOT for coding individual home medical procedures or treatments.
432,Bowel Wash Out,"ONLY use when bowel washouts are performed at home: 'bowel washouts', 'enemas at home', 'bowel irrigation', 'washout procedure' - NOT for occasional enemas, constipation treatment, or bowel management without regular washout procedures."
433,Catheterization,"ONLY use when catheterization is performed routinely: 'catheterization', 'bladder catheter', 'intermittent catheterization', 'straight catheterization', where the procedure specifically involves the urethra — NOT for one-time catheterization, hospital procedures, or urinary concerns without routine catheterization"
434,Respiratory care at home (Other),"ONLY use when home respiratory treatments are provided: 'nebulizer treatments', 'suctioning at home', 'home respiratory care', 'breathing treatments', 'chest physiotherapy' - NOT for inhalers, occasional treatments, or respiratory concerns without home respiratory care."
435,"Sanitary Measure, Excessive Needed to Prevent Infection","Only use when caregiver describes excessive cleaning, sanitizing, or infection prevention measures beyond normal. Therapeutic brushing programs, sensory interventions, and hygiene routines are NOT this code."
436,Suctioning,"ONLY use when suctioning is performed at home: 'suctioning', 'oral suctioning', 'nasal suctioning', 'tracheal suctioning', 'suction machine' - NOT for hospital suctioning, occasional suctioning during illness, or respiratory concerns without home suctioning."
437,Medication Intervention,ONLY use as a domain header for organizing Medication Intervention conditions - NOT for coding individual medications or pharmaceutical treatments.
438,"albuterol, levalbuterol, ProAir, Proventil, Ventolin, Xopenex","ONLY use when this bronchodilator medication is prescribed/used: 'albuterol', 'ProAir', 'Ventolin', 'levalbuterol', 'Xopenex' - NOT for other inhalers, breathing treatments, or respiratory medications without specific bronchodilator use."
439,"amphetamine salts, Adderall","ONLY use when this ADHD medication is prescribed/used: 'Adderall', 'amphetamine salts', 'stimulant medication', 'ADHD medication', or when there is detection of amphetamine or its metabolites in urine — NOT for other psychiatric medications, behavioral treatments, attention concerns without stimulant medication use, or when discussing addiction to amphetamine without actual prescription or use"
440,Anti'-'diarrheal medications (unspecified),"ONLY use when anti-diarrheal medications are used for chronic loose stools: 'Imodium', 'anti-diarrheal medication', 'loperamide', 'bowel slowing medication' - NOT for occasional diarrhea during illness, dietary changes, or bowel concerns without anti-diarrheal medication use."
441,Antibiotics,"ONLY use when antibiotic medications are prescribed/used for bacterial infections: 'antibiotic', 'amoxicillin', 'penicillin', 'bacterial infection treatment' - NOT for botox injections, antiviral medications, antifungal treatments, or infection concerns without antibiotic use."
442,"aripiprazole, Ability, Aristada","ONLY use when this antipsychotic medication is prescribed/used: 'aripiprazole', 'Abilify', 'Aristada', 'antipsychotic medication' - NOT for other psychiatric medications, behavioral treatments, or mood concerns without antipsychotic medication use."
443,"atomoxetine, Strattera","ONLY use when this ADHD medication is prescribed/used: 'atomoxetine', 'Strattera', 'non-stimulant ADHD medication' - NOT for stimulant medications, other psychiatric drugs, or attention concerns without atomoxetine use."
444,atropine,"ONLY use when atropine medication is prescribed/used: 'atropine', 'atropine drops', 'atropine injection', 'atropine medication' - NOT for other eye medications, emergency treatments, or medical procedures without atropine use."
445,Behavioral modifying medications (unspecified),"Only use when a behavioral medication is mentioned by name or class (e.g., risperidone, SSRI) but does not match a specific medication code. General statements about being on medication are NOT sufficient."
446,Bowel treatment medications (unspecified),"Only use when a specific bowel/GI medication is named (e.g., MiraLAX, senna, docusate) but does not match another medication code. Do NOT use for general descriptions of constipation treatment without naming the medication."
447,"budesonide, Pulmicort, Airsupra","ONLY use when this inhaled steroid medication is prescribed/used: 'budesonide', 'Pulmicort', 'Airsupra', 'inhaled steroid' - NOT for other inhalers, oral steroids, or respiratory medications without budesonide use."
448,"bupropion, Wellbutrin","ONLY use when this antidepressant medication is prescribed/used: 'bupropion', 'Wellbutrin', 'antidepressant medication' - NOT for other psychiatric medications, mood treatments, or depression concerns without bupropion use."
449,"cannabidiol, Epidiolex","ONLY use when CBD medication is prescribed/used: 'cannabidiol', 'Epidiolex', 'CBD medication', 'medical marijuana' - NOT for recreational marijuana, CBD oils, or seizure treatments without CBD medication use."
450,"CBD with or without THC, Jayden's Juice, Charlotte's web, (non'-'FDA approved)","ONLY use when non-FDA approved CBD products are used: 'Charlotte's Web', 'Jayden's Juice', 'CBD oil', 'non-FDA CBD' - NOT for FDA-approved Epidiolex (use code 449), recreational marijuana, or seizure treatments without CBD product use."
451,Chemotherapy,"ONLY use when cancer chemotherapy treatment is prescribed/used: 'chemotherapy', 'chemo', 'cancer treatment', 'cytotoxic drugs', 'oncology treatment' - NOT for botox injections, other medications, or cancer discussions without actual chemotherapy treatment."
452,"clobazam, Onfi","ONLY use when this seizure medication is prescribed/used: 'clobazam', 'Onfi', 'benzodiazepine for seizures' - NOT for other seizure medications, anxiety treatments, or seizure concerns without clobazam use."
453,"clonazepam, Klonopin","ONLY use when this benzodiazepine medication is prescribed/used: 'clonazepam', 'Klonopin', 'benzodiazepine' - NOT for other anxiety medications, seizure treatments, or anxiety concerns without clonazepam use."
454,"clonidine, Catapress, Kapvay, Onyda XR","ONLY use when this blood pressure/ADHD medication is prescribed/used: 'clonidine', 'Catapres', 'Kapvay', 'Onyda XR' - NOT for other blood pressure medications, ADHD treatments, or behavioral concerns without clonidine use."
455,"CoQ10, Qunol, Coenzyme Q10","ONLY use when CoQ10 supplement is prescribed/used: 'CoQ10', 'Coenzyme Q10', 'Qunol', 'ubiquinone' - a naturally occurring quinone that may be reduced in skeletal muscle tissue in certain conditions — NOT for other supplements, vitamins, or nutritional treatments without CoQ10 use"
456,"diazepam, Diastat Rectal Gel, Valtoco nasal spray, Valium","ONLY use when this rescue seizure medication is prescribed/used: 'diazepam', 'Diastat', 'Valtoco', 'Valium', 'rescue medication' - NOT for other seizure medications, anxiety treatments, or seizure concerns without diazepam use."
457,"docusate, Colace, stool softner","ONLY use when stool softener medication is prescribed/used: 'docusate', 'Colace', 'stool softener', 'bowel medication' - NOT for laxatives, dietary fiber, or constipation concerns without stool softener use."
458,"duloxetine, Cymbalta","ONLY use when this antidepressant medication is prescribed/used: 'duloxetine', 'Cymbalta', 'SNRI antidepressant' - NOT for other antidepressants, pain medications, or mood concerns without duloxetine use."
459,Emotional modifying medications (unspecified),"ONLY use when unspecified emotional medications are used: 'mood medication', 'emotional medication', 'psychiatric medication' - NOT for specific named medications (use specific codes), therapy treatments, or emotional concerns without medication."
460,Enemas,"ONLY use when enemas are regularly used: 'enemas', 'bowel enemas', 'rectal irrigation', 'enema treatments' - NOT for occasional enemas during illness, one-time procedures, or constipation concerns without regular enema use."
461,"Erythromycin, E.E.S",Used off'-'label for gut dysmotility
462,"escitalopram, Lexapro","ONLY use when this antidepressant medication is prescribed/used: 'escitalopram', 'Lexapro', 'SSRI antidepressant' - NOT for other antidepressants, anxiety medications, or mood concerns without escitalopram use."
463,"esomeprazole, Nexium","ONLY use when this acid reflux medication is prescribed/used: 'esomeprazole', 'Nexium', 'proton pump inhibitor' - NOT for other reflux medications, stomach treatments, or digestive concerns without esomeprazole use."
464,"famotadine, Pepcid","ONLY use when this acid reducer medication is prescribed/used: 'famotidine', 'Pepcid', 'H2 blocker', 'acid reducer' - NOT for other reflux medications, stomach treatments, or digestive concerns without famotidine use."
465,"fenfluramine, Fintepla","ONLY use when this seizure medication is prescribed/used: 'fenfluramine', 'Fintepla', 'seizure medication' - NOT for other seizure medications, behavioral treatments, or seizure concerns without fenfluramine use."
466,"fluoextine, Prozac","ONLY use when this antidepressant medication is prescribed/used: 'fluoxetine', 'Prozac', 'SSRI antidepressant' - NOT for other antidepressants, mood treatments, or depression concerns without fluoxetine use."
467,"fluticasone, Flovent, Advair","ONLY use when this inhaled steroid medication is prescribed/used: 'fluticasone', 'Flovent', 'Advair', 'inhaled corticosteroid' - NOT for other inhalers, oral steroids, or respiratory medications without fluticasone use."
468,"gabapentin, Neurontin, Gralise","ONLY use when this nerve pain/seizure medication is prescribed/used: 'gabapentin', 'Neurontin', 'Gralise', 'nerve medication' - NOT for other pain medications, seizure treatments, or nerve concerns without gabapentin use."
469,"glycerol, suppositories","ONLY use when glycerol suppositories are used: 'glycerol suppositories', 'glycerin suppositories', 'rectal suppositories' - NOT for other suppositories, enemas, or constipation treatments without glycerol suppository use."
470,"glycopyrrolate, Robinul","ONLY use when this antisecretory medication is prescribed/used: 'glycopyrrolate', 'Robinul', 'antisecretory medication' - NOT for other medications, secretion treatments, or saliva concerns without glycopyrrolate use."
471,Growth Hormone,"ONLY use when growth hormone therapy is prescribed/used: 'growth hormone', 'GH therapy', 'growth hormone injections', 'somatropin' - NOT for growth concerns, height measurements, or endocrine evaluations without growth hormone therapy."
472,"guanfacine, Intuniv","ONLY use when this ADHD/blood pressure medication is prescribed/used: 'guanfacine', 'Intuniv', 'ADHD medication' - NOT for other ADHD treatments, blood pressure medications, or behavioral concerns without guanfacine use."
473,Hypersecretion/Hyperhidrosis/Hypersalivation medications (unspecified),"medications that dry out. help with excess mucus, sweating, saliva"
474,Inhalers or Nebulizers (unspecified),"ONLY use when unspecified inhalers or nebulizers are used: 'inhaler', 'nebulizer', 'breathing treatments', 'respiratory medication' - NOT for specific named inhalers (use specific codes), oxygen therapy, or respiratory concerns without inhaler/nebulizer use."
475,"ipratropium, Atrovent","ONLY use when this bronchodilator medication is prescribed/used: 'ipratropium', 'Atrovent', 'bronchodilator inhaler' - NOT for other inhalers, breathing treatments, or respiratory medications without ipratropium use."
476,"Lacosamide, Vimpat","ONLY use when this seizure medication is prescribed/used: 'lacosamide', 'Vimpat', 'seizure medication' - NOT for other seizure medications, neurological treatments, or seizure concerns without lacosamide use."
477,"lamotrigine, Lamictal","ONLY use when this seizure/mood medication is prescribed/used: 'lamotrigine', 'Lamictal', 'seizure medication', 'mood stabilizer' - NOT for other seizure medications, mood treatments, or neurological concerns without lamotrigine use."
478,"lansoprazole, Prevacid",Only use when lansoprazole/Prevacid is explicitly named as a current medication. Requires specific drug name mentioned.
479,Laxatives (unspecified),improve consitpation
480,"Levetiracetum, Keppra","ONLY use when this seizure medication is prescribed/used: 'levetiracetam', 'Keppra', 'seizure medication' - NOT for other seizure medications, neurological treatments, or seizure concerns without levetiracetam use."
481,"lisdexamfetamine, Vyvanse","ONLY use when this ADHD medication is prescribed/used: 'lisdexamfetamine', 'Vyvanse', 'stimulant medication', 'ADHD medication' - NOT for other ADHD treatments, stimulant medications, or attention concerns without lisdexamfetamine use."
482,"loperamide, Imodium","ONLY use when this anti-diarrheal medication is prescribed/used: 'loperamide', 'Imodium', 'anti-diarrheal medication' - NOT for other bowel medications, diarrhea treatments, or digestive concerns without loperamide use."
483,"lorazepam, Ativan","ONLY use when this anxiety/seizure medication is prescribed/used: 'lorazepam', 'Ativan', 'benzodiazepine', 'anxiety medication' - NOT for other anxiety medications, seizure treatments, or anxiety concerns without lorazepam use."
484,"Medical Aid in Dying, Euthansia","ONLY use when medical aid in dying is explicitly discussed: 'medical aid in dying', 'euthanasia', 'assisted dying', 'end-of-life assistance' - NOT for palliative care, hospice care, or end-of-life discussions without assisted dying."
485,Melatonin,"ONLY use when melatonin supplement is prescribed/used: 'melatonin', 'sleep supplement', 'melatonin for sleep' - where melatonin is a hormone normally secreted by the pineal gland and other tissues that may be supplemented exogenously — NOT for other sleep medications, sleep treatments, or sleep concerns without melatonin use, or for discussions of endogenous melatonin production without supplementation"
486,"methylphenidate, Ritalin, Concerta","ONLY use when this ADHD medication is prescribed/used: 'methylphenidate', 'Ritalin', 'Concerta', 'stimulant medication', or when there is addiction to methylphenidate — NOT for other ADHD treatments, stimulant medications, or attention concerns without methylphenidate use"
487,"midazolam, Nayzilam, nasal spray","ONLY use when this rescue seizure medication is prescribed/used: 'midazolam', 'Nayzilam', 'nasal spray', 'rescue medication' - NOT for other seizure medications, anxiety treatments, or seizure concerns without midazolam use."
488,"mometasone, Dulera, Asmanex","ONLY use when this inhaled steroid medication is prescribed/used: 'mometasone', 'Dulera', 'Asmanex', 'inhaled corticosteroid' - NOT for other inhalers, respiratory medications, or asthma treatments without mometasone use."
489,"olanzapine, Zyprexa, Zyprexa Zydis","ONLY use when this antipsychotic medication is prescribed/used: 'olanzapine', 'Zyprexa', 'antipsychotic medication' - NOT for other psychiatric medications, mood treatments, or behavioral concerns without olanzapine use."
490,"omega 3s, fish oil, DHA, EPA","ONLY use when omega-3 supplements are prescribed/used: 'omega-3', 'fish oil', 'DHA', 'EPA supplements', 'omega-3 fatty acids' - NOT for dietary fish consumption, general nutrition, or supplement discussions without omega-3 use."
491,"omeprazole, Prilosec","ONLY use when this acid reflux medication is prescribed/used: 'omeprazole', 'Prilosec', 'proton pump inhibitor' - NOT for other reflux medications, stomach treatments, or digestive concerns without omeprazole use."
492,"ondansetron, Zofran","ONLY use when this anti-nausea medication is prescribed/used: 'ondansetron', 'Zofran', 'anti-nausea medication' - NOT for other nausea treatments, vomiting concerns, or digestive medications without ondansetron use."
493,"opioids, oxycodone, fentanyl, morphine, hydrocodone, hydromorphone Percocet, Oxycontin, Lortab, Vicodin, Dilaudid","ONLY use when opioid pain medications are prescribed/used: 'oxycodone', 'morphine', 'Percocet', 'Vicodin', 'opioid medication' - NOT for other pain medications, non-opioid analgesics, or pain concerns without opioid use."
494,Oxygen,"ONLY use when oxygen therapy is prescribed/used: 'oxygen', 'oxygen therapy', 'supplemental oxygen', 'oxygen tank', 'oxygen concentrator' - NOT for breathing treatments, inhalers, or respiratory concerns without oxygen therapy."
495,Pain medication (unspecified),"ONLY use when unspecified pain medications are used: 'pain medication', 'medication for pain', 'analgesic medication' - NOT for specific named pain medications (use specific codes), non-medication pain treatments, or pain concerns without medication."
496,"pantoprazole, Protonix",Only use when pantoprazole/Protonix is explicitly named as a current medication. Do NOT infer from general GI treatment descriptions.
497,"polyethylene glycol 3350, PEG, Miralax","ONLY use when this laxative medication is prescribed/used: 'polyethylene glycol', 'PEG', 'Miralax', 'osmotic laxative' - NOT for other laxatives, constipation treatments, or bowel concerns without PEG use."
498,"pregabalin, Lyrica","ONLY use when this nerve pain medication is prescribed/used: 'pregabalin', 'Lyrica', 'nerve pain medication' - NOT for other pain medications, seizure treatments, or nerve concerns without pregabalin use."
499,Probiotics,"ONLY use when probiotic supplements are prescribed/used: 'probiotics', 'probiotic supplements', 'beneficial bacteria', 'gut health supplements' - NOT for dietary yogurt, fermented foods, or digestive concerns without probiotic supplements."
500,"psyllium, fiber, Metamucil","ONLY use when fiber supplements are prescribed/used: 'psyllium', 'fiber supplements', 'Metamucil', 'bulk-forming laxative' - NOT for dietary fiber, high-fiber foods, or constipation concerns without fiber supplements."
501,"quetiapine, Seroquel","ONLY use when this antipsychotic medication is prescribed/used: 'quetiapine', 'Seroquel', 'antipsychotic medication' - NOT for other psychiatric medications, mood treatments, or behavioral concerns without quetiapine use."
502,"Reflux, stomach, chronic vomitting, dymotility medication (unspecified)",medications used to treat GI related symptoms outside of bowel movements
503,Rescue seizure medications (unspecified),"ONLY use when unspecified rescue seizure medications are used: 'rescue seizure medication', 'emergency seizure medication', 'PRN seizure medication' - NOT for specific named rescue medications (use specific codes), daily seizure medications, or seizure concerns without rescue medication."
504,Respiratory medications (unspecified),"ONLY use when unspecified respiratory medications are used: 'respiratory medication', 'breathing medication', 'lung medication' - NOT for specific named respiratory medications (use specific codes), inhalers, or respiratory concerns without medication."
505,"risperidone, Risperdal, Risperdal Consta","ONLY use when this antipsychotic medication is prescribed/used: 'risperidone', 'Risperdal', 'antipsychotic medication' - NOT for other psychiatric medications, behavioral treatments, or mood concerns without risperidone use."
506,"rufinamide, Banzel","ONLY use when this seizure medication is prescribed/used: 'rufinamide', 'Banzel', 'seizure medication' - NOT for other seizure medications, neurological treatments, or seizure concerns without rufinamide use."
507,"scopolamine, Patch, Transdermal, Transderm Scop","ONLY use when this motion sickness medication is prescribed/used: 'scopolamine', 'scopolamine patch', 'Transderm Scop', 'motion sickness patch' - NOT for other nausea medications, patches, or motion concerns without scopolamine use."
508,Seizure medications (unspecified),"REVIEW FEEDBACK: DO NOT confuse with [378] Adaptive equipment (includes technology, like AAC devices and zoom/telehealth). | DO NOT confuse with [351] Home or vehicle modifications. | DO NOT confuse with [360] Independence, mobility, and agency decreased due to child's need for daily care."
509,"sennosides, bisacodyl, Senna, Dulcolax, stimulant laxatives","ONLY use when stimulant laxative medications are prescribed/used: 'sennosides', 'Senna', 'bisacodyl', 'Dulcolax', 'stimulant laxative' - NOT for other laxatives, fiber supplements, or constipation treatments without stimulant laxative use."
510,"sertraline, Zoloft","ONLY use when this antidepressant medication is prescribed/used: 'sertraline', 'Zoloft', 'SSRI antidepressant' - NOT for other antidepressants, mood treatments, or depression concerns without sertraline use."
